Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,MntWines,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Age,Total_Spending,Total_Purchases,Children
1957,Graduation,Single,58138.0,0,0,635,546,172,88,88,3,8,10,4,7,0,1,69,1529,22,0
1954,Graduation,Single,46344.0,1,1,11,6,2,1,6,2,1,1,2,5,0,0,72,26,4,2
1965,Graduation,Together,71613.0,0,0,426,127,111,21,42,1,8,2,10,4,0,0,61,727,20,0
1984,Graduation,Together,26646.0,1,0,11,20,10,3,5,2,2,0,4,6,0,0,42,49,6,1
1981,PhD,Married,58293.0,1,0,173,118,46,27,15,5,5,3,6,5,0,0,45,379,14,1
1967,Master,Together,62513.0,0,1,520,98,0,42,14,2,6,4,10,6,0,0,59,674,20,1
1971,Graduation,Divorced,55635.0,0,1,235,164,50,49,27,4,7,3,7,6,0,0,55,525,17,1
1985,PhD,Married,33454.0,1,0,76,56,3,1,23,2,4,0,4,8,0,0,41,159,8,1
1974,PhD,Together,30351.0,1,0,14,24,3,3,2,1,3,0,2,9,0,1,52,46,5,1
1950,PhD,Together,5648.0,1,1,28,6,1,1,13,1,1,0,0,20,0,0,76,49,1,2
1976,Basic,Married,7500.0,0,0,6,11,11,1,16,1,2,0,3,8,0,0,50,45,5,0
1959,Graduation,Divorced,63033.0,0,0,194,480,225,112,30,1,3,4,8,2,0,0,67,1041,15,0
1952,Master,Divorced,59354.0,1,1,233,53,3,5,14,3,6,1,5,6,0,0,74,308,12,2
1987,Graduation,Married,17323.0,0,0,3,17,6,1,5,1,1,0,3,8,0,0,39,32,4,0
1946,PhD,Single,82800.0,0,0,1006,115,59,68,45,1,7,6,12,3,0,1,80,1293,25,0
1980,Graduation,Married,41850.0,1,1,53,19,2,13,4,3,3,0,3,8,0,0,46,91,6,2
